  Time         X         Y         Z        Vx        Vy        Vz
  0.00      0.00      0.00    100.00     70.71     70.71      0.00
  0.00      7.07      7.02    100.00     70.71     69.73      0.00
  0.10     14.14     13.95    100.00     70.71     68.75      0.00
  0.20     21.21     20.77    100.00     70.71     67.77      0.00
  0.30     28.28     27.50    100.00     70.71     66.79      0.00
  0.40     35.36     34.13    100.00     70.71     65.81      0.00
  0.50     42.43     40.66    100.00     70.71     64.83      0.00
  0.60     49.50     47.10    100.00     70.71     63.85      0.00
  0.70     56.57     53.43    100.00     70.71     62.87      0.00
  0.80     63.64     59.67    100.00     70.71     61.89      0.00
  0.90     70.71     65.81    100.00     70.71     60.91      0.00
  1.00     77.78     71.85    100.00     70.71     59.93      0.00
  1.10     84.85     77.80    100.00     70.71     58.95      0.00
  1.20     91.92     83.64    100.00     70.71     57.97      0.00
  1.30     98.99     89.39    100.00     70.71     56.99      0.00
  1.40    106.07     95.04    100.00     70.71     56.01      0.00
  1.50    113.14    100.59    100.00     70.71     55.03      0.00
  1.60    120.21    106.05    100.00     70.71     54.05      0.00
  1.70    127.28    111.40    100.00     70.71     53.07      0.00
  1.80    134.35    116.66    100.00     70.71     52.09      0.00
  1.90    141.42    121.82    100.00     70.71     51.11      0.00
  2.00    148.49    126.88    100.00     70.71     50.13      0.00
  2.10    155.56    131.85    100.00     70.71     49.15      0.00
  2.20    162.63    136.71    100.00     70.71     48.17      0.00
  2.30    169.71    141.48    100.00     70.71     47.19      0.00
  2.40    176.78    146.15    100.00     70.71     46.21      0.00
  2.50    183.85    150.72    100.00     70.71     45.23      0.00
  2.60    190.92    155.20    100.00     70.71     44.25      0.00
  2.70    197.99    159.57    100.00     70.71     43.27      0.00
  2.80    205.06    163.85    100.00     70.71     42.29      0.00
  2.90    212.13    168.03    100.00     70.71     41.31      0.00
  3.00    219.20    172.11    100.00     70.71     40.33      0.00
  3.10    226.27    176.10    100.00     70.71     39.35      0.00
  3.20    233.35    179.98    100.00     70.71     38.37      0.00
  3.30    240.42    183.77    100.00     70.71     37.39      0.00
  3.40    247.49    187.46    100.00     70.71     36.41      0.00
  3.50    254.56    191.05    100.00     70.71     35.43      0.00
  3.60    261.63    194.55    100.00     70.71     34.45      0.00
  3.70    268.70    197.94    100.00     70.71     33.47      0.00
  3.80    275.77    201.24    100.00     70.71     32.49      0.00
  3.90    282.84    204.44    100.00     70.71     31.51      0.00
  4.00    289.91    207.54    100.00     70.71     30.53      0.00
  4.10    296.98    210.55    100.00     70.71     29.55      0.00
  4.20    304.06    213.45    100.00     70.71     28.57      0.00
  4.30    311.13    216.26    100.00     70.71     27.59      0.00
  4.40    318.20    218.97    100.00     70.71     26.61      0.00
  4.50    325.27    221.59    100.00     70.71     25.63      0.00
  4.60    332.34    224.10    100.00     70.71     24.65      0.00
  4.70    339.41    226.52    100.00     70.71     23.67      0.00
  4.80    346.48    228.83    100.00     70.71     22.69      0.00
  4.90    353.55    231.05    100.00     70.71     21.71      0.00
  5.00    360.62    233.18    100.00     70.71     20.73      0.00
  5.10    367.70    235.20    100.00     70.71     19.75      0.00
  5.20    374.77    237.13    100.00     70.71     18.77      0.00
  5.30    381.84    238.95    100.00     70.71     17.79      0.00
  5.40    388.91    240.68    100.00     70.71     16.81      0.00
  5.50    395.98    242.32    100.00     70.71     15.83      0.00
  5.60    403.05    243.85    100.00     70.71     14.85      0.00
  5.70    410.12    245.29    100.00     70.71     13.87      0.00
  5.80    417.19    246.62    100.00     70.71     12.89      0.00
  5.90    424.26    247.86    100.00     70.71     11.91      0.00
  6.00    431.34    249.01    100.00     70.71     10.93      0.00
  6.10    438.41    250.05    100.00     70.71      9.95      0.00
  6.20    445.48    251.00    100.00     70.71      8.97      0.00
  6.30    452.55    251.84    100.00     70.71      7.99      0.00
  6.40    459.62    252.59    100.00     70.71      7.01      0.00
  6.50    466.69    253.25    100.00     70.71      6.03      0.00
  6.60    473.76    253.80    100.00     70.71      5.05      0.00
  6.70    480.83    254.26    100.00     70.71      4.07      0.00
  6.80    487.90    254.61    100.00     70.71      3.09      0.00
  6.90    494.97    254.87    100.00     70.71      2.11      0.00
  7.00    502.05    255.04    100.00     70.71      1.13      0.00
  7.10    509.12    255.10    100.00     70.71      0.15      0.00
  7.20    516.19    255.07    100.00     70.71     -0.83      0.00
  7.30    523.26    254.94    100.00     70.71     -1.81      0.00
  7.40    530.33    254.71    100.00     70.71     -2.79      0.00
  7.50    537.40    254.38    100.00     70.71     -3.77      0.00
  7.60    544.47    253.95    100.00     70.71     -4.75      0.00
  7.70    551.54    253.43    100.00     70.71     -5.73      0.00
  7.80    558.61    252.81    100.00     70.71     -6.71      0.00
  7.90    565.69    252.09    100.00     70.71     -7.69      0.00
  8.00    572.76    251.27    100.00     70.71     -8.67      0.00
  8.10    579.83    250.35    100.00     70.71     -9.65      0.00
  8.20    586.90    249.34    100.00     70.71    -10.63      0.00
  8.30    593.97    248.23    100.00     70.71    -11.61      0.00
  8.40    601.04    247.02    100.00     70.71    -12.59      0.00
  8.50    608.11    245.71    100.00     70.71    -13.57      0.00
  8.60    615.18    244.30    100.00     70.71    -14.55      0.00
